Ref,Val,Package,PosX,PosY,Rot,Side
"","","0d6e4b69-4cda-4f93-960e-84a3754837eb",150.425000,-85.925000,0.000000,top
"C1","100n","C_0402_1005Metric",150.225000,-98.025000,180.000000,top
"C2","4.7u","C_0402_1005Metric_small_pads",142.820000,-87.670000,180.000000,top
"C3","4.7u","C_0402_1005Metric_small_pads",142.820000,-88.700000,180.000000,top
"C4","4.7u","C_0402_1005Metric",139.775000,-89.015000,90.000000,top
"C5","100n","C_0402_1005Metric",140.580000,-76.760000,90.000000,top
"C6","100n","C_0402_1005Metric",138.140000,-82.100000,180.000000,top
"C7","100n","C_0402_1005Metric",138.015000,-85.165000,180.000000,top
"C8","100n","C_0402_1005Metric",148.475000,-77.300000,0.000000,top
"C9","100n","C_0402_1005Metric",147.975000,-92.080000,-90.000000,top
"C10","100n","C_0402_1005Metric",149.510000,-87.020000,-90.000000,top
"C11","100n","C_0402_1005Metric",151.995000,-81.070000,0.000000,top
"C12","15p","C_0402_1005Metric",145.895000,-74.300000,0.000000,top
"C13","15p","C_0402_1005Metric",148.350000,-74.275000,0.000000,top
"C14","100n","C_0402_1005Metric",152.855000,-83.775000,0.000000,top
"C15","4.7u","C_0402_1005Metric",144.425000,-76.400000,90.000000,top
"C16","100n","C_0402_1005Metric",139.240000,-83.290000,180.000000,top
"C17","4.7u","C_0805_2012Metric",136.535200,-117.400200,180.000000,top
"C18","4.7u","C_0805_2012Metric",130.050000,-115.300000,180.000000,top
"C19","22u","C_0805_2012Metric",140.135200,-108.640200,0.000000,top
"C20","4.7n","C_0402_1005Metric",135.175202,-104.189300,180.000000,top
"C21","0.1u","C_0402_1005Metric",171.590000,-66.870000,90.000000,top
"C22","0.1u","C_0402_1005Metric",173.380000,-76.070000,-90.000000,top
"C23","0.1u","C_0402_1005Metric",167.800000,-66.890000,90.000000,top
"C24","0.1u","C_0402_1005Metric",163.980000,-66.883800,90.000000,top
"C25","0.1u","C_0402_1005Metric",163.920000,-79.813800,-90.000000,top
"C26","0.1u","C_0402_1005Metric",167.820000,-79.820000,-90.000000,top
"C27","0.1u","C_0402_1005Metric",171.600000,-79.800000,-90.000000,top
"C28","10p","C_0402_1005Metric",135.185202,-101.059300,0.000000,top
"C29","10u","C_0805_2012Metric",139.875000,-96.575000,180.000000,top
"C30","22u","C_0805_2012Metric",145.225000,-96.575000,0.000000,top
"C31","22u","C_0805_2012Metric",145.650000,-67.675000,180.000000,top
"C32","0.1u","C_0402_1005Metric",137.080000,-96.625000,0.000000,top
"CR1","SMF12CA","SMFSeries_SOD-123F",142.175000,-113.050000,90.000000,top
"CR2","SMF12CA","SMFSeries_SOD-123F",135.350000,-120.975000,-90.000000,top
"D1","MBR0520LT","D_SOD-123",139.505200,-112.210200,-90.000000,top
"D2","ESD7L5.0DT5G","SOT-723_0P85X1P25_ONS-L",142.545201,-117.909500,0.000000,top
"D3","LTST-C190KRKT","LEDC1608X35N_red",155.965000,-116.425000,180.000000,top
"D4","LTST-C190TBKT","LEDM1608X80_blue",156.000000,-121.885000,180.000000,top
"D5","LTST-C191KFKT","LEDC1608X55N_orange",155.962000,-119.190000,180.000000,top
"IC1","DMP1045U-7","SOT96P240X110-3N",132.005200,-112.010200,180.000000,top
"IC2","DMP1045U-7","SOT96P240X110-3N",134.195200,-108.280200,0.000000,top
"IC3","DMP1045U-7","SOT96P240X110-3N",156.250000,-113.745000,90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",125.775000,-71.310000,0.000000,top
"J2","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",152.880000,-47.770000,0.000000,top
"J3","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",142.520000,-123.625000,0.000000,top
"J4","Conn_01x08_Socket","PinSocket_1x08_P2.54mm_Vertical",137.495000,-47.805000,0.000000,top
"J5","Conn_01x08_Socket","JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical",137.850000,-37.760000,0.000000,top
"J6","Conn_01x02_Pin","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",128.925000,-120.225000,0.000000,top
"J7","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",153.770000,-87.120000,90.000000,top
"L1","3.3u","AOTA-B201610S3R3-101-T",142.900000,-90.416790,180.000000,top
"L2","560n","L_Changjiang_FXL0420",140.385202,-100.099300,0.000000,top
"R1","1k","R_0402_1005Metric",129.550000,-68.050000,-90.000000,top
"R2","1k","R_0402_1005Metric",161.240000,-91.750000,180.000000,top
"R3","100k","R_0402_1005Metric",135.175200,-110.690200,0.000000,top
