Designator,Val,Package,Mid X,Mid Y,Rotation,Side
,,,145,-73.2475,0,top
,,,145,-71.9725,0,top
,,,146.275,-73.2475,0,top
,,,146.275,-71.9725,0,top
C1,100n,C_0402_1005Metric,149.6125,-119.8225,180,top
C2,4.7u,C_0402_1005Metric_small_pads,142.2075,-109.4675,180,top
C3,4.7u,C_0402_1005Metric_small_pads,142.2075,-110.4975,180,top
C4,4.7u,C_0402_1005Metric,139.1625,-110.8125,90,top
C5,100n,C_0402_1005Metric,140.31,-98.44,90,top
C6,100n,C_0402_1005Metric,135.76,-104.31,180,top
C7,100n,C_0402_1005Metric,137.4025,-106.9625,180,top
C8,100n,C_0402_1005Metric,147.8625,-99.0975,0,top
C9,100n,C_0402_1005Metric,147.7125,-113.8975,-90,top
C10,100n,C_0402_1005Metric,148.8975,-108.8175,-90,top
C11,100n,C_0402_1005Metric,151.3825,-102.8675,0,top
C12,15p,C_0402_1005Metric,145.04,-96.1,0,top
C13,15p,C_0402_1005Metric,147.7375,-96.0725,0,top
C14,100n,C_0402_1005Metric,156.05,-103.87,90,top
C15,4.7u,C_0402_1005Metric,144.24,-98.35,90,top
C16,100n,C_0402_1005Metric,137.73,-104.78,180,top
C17,4.7u,C_0805_2012Metric,135.58,-139.15,180,top
C18,4.7u,C_0805_2012Metric,129.4375,-137.0975,180,top
C19,22u,C_0805_2012Metric,139.5227,-130.4377,0,top
C20,4.7n,C_0402_1005Metric,134.562702,-125.9868,180,top
C21,0.1u,C_0402_1005Metric,172.6925,-91.9425,90,top
C22,0.1u,C_0402_1005Metric,174.4825,-101.1425,-90,top
C23,0.1u,C_0402_1005Metric,168.9025,-91.9625,90,top
C24,0.1u,C_0402_1005Metric,165.0825,-91.9563,90,top
C25,0.1u,C_0402_1005Metric,164.867689,-104.080565,-90,top
C26,0.1u,C_0402_1005Metric,168.767689,-104.086765,-90,top
C27,0.1u,C_0402_1005Metric,172.547689,-104.066765,-90,top
C28,10p,C_0402_1005Metric,134.572702,-122.8568,0,top
C29,10u,C_0805_2012Metric,139.2625,-118.3725,180,top
C30,22u,C_0805_2012Metric,144.6125,-118.3725,0,top
C31,22u,C_0805_2012Metric,131.6,-92.02,-90,top
C32,0.1u,C_0402_1005Metric,136.4675,-118.4225,0,top
C44,470n,C_0402_1005Metric,143.4,-76.6725,180,top
C47,100n,C_0402_1005Metric,146.75,-76.25,180,top
C48,1u,C_0402_1005Metric,139.3,-69.0725,-90,top
C49,47n,C_0402_1005Metric,143.32,-69.1475,0,top
C50,47p,C_0402_1005Metric,143.32,-68.1475,0,top
C52,1.8p,C_0402_1005Metric,146.15,-67.6225,-90,top
C53,3p,C_0402_1005Metric,142.82,-65.6175,-90,top
C54,2.4p,C_0402_1005Metric,145.15,-67.62,-90,top
C55,5.6p,C_0402_1005Metric,143.32,-64.1175,0,top
C57,39p,C_0402_1005Metric,143.82,-62.6225,-90,top
C58,1.8p,C_0402_1005Metric,143.32,-59.1225,0,top
C59,1n,C_0402_1005Metric,147.92,-55.0225,0,top
C60,1n,C_0402_1005Metric,141.73,-54.8225,180,top
C61,39p,C_0402_1005Metric,144.8675,-53.12,-90,top
C62,3.3p,C_0402_1005Metric,145.3875,-49.8875,180,top
C63,3.3p,C_0402_1005Metric,145.4,-46.9,180,top
CR1,SMF12CA,SMFSeries_SOD-123F,141.5625,-134.8475,90,top
CR2,SMF12CA,SMFSeries_SOD-123F,134.7375,-142.7725,-90,top
D1,MBR0520LT,D_SOD-123,138.8927,-134.0077,-90,top
D2,ESD7L5.0DT5G,SOT-723_0P85X1P25_ONS-L,141.932701,-139.707,0,top
D3,LTW-C193DS5-ND,LEDC1608X35N_red,155.3525,-138.2225,180,top
D4,LTST-C190TBKT,LEDM1608X80_blue,155.4,-145.47,180,top
D5,LTST-C193TGKT-5A,LEDC1608X55N_orange,155.35,-140.25,180,top
D6,LTST-C191KFKT,LEDC1608X55N_orange,119.38,-107.16,0,top
IC1,DMP1045U-7,SOT96P240X110-3N,131.3927,-133.8077,180,top
IC2,DMP1045U-7,SOT96P240X110-3N,133.5827,-130.0777,0,top
IC3,DMP1045U-7,SOT96P240X110-3N,158.75,-142.85,-90,top
IC4,DMP1045U-7,SOT96P240X110-3N,119.77,-104.55,0,top
IC5,DMP1045U-7,SOT96P240X110-3N,130.98,-110.6,90,top
IC6,DMP1045U-7,SOT96P240X110-3N,154.97,-142.86,180,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,125.1625,-93.1075,0,top
J2,S0991-46R,HARWIN_S0991-46R,139.45,-51.27,0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,141.9075,-145.4225,0,top
J4,IPEX1,MHF I_RECE_IPX,144.92,-42.58,-90,top
J5,Conn_01x08_Socket,JST_PH_B8B-PH-K_1x08_P2.00mm_Vertical,149.8,-86.7,180,top
J6,Conn_01x02_Pin,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,129.58,-141.81,180,top
J7,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical,154.0675,-109.3725,90,top
J8,S0991-46R,HARWIN_S0991-46R,142.15,-81.27,0,top
J9,S0991-46R,HARWIN_S0991-46R,130.31,-64.404941,90,top
J10,S0991-46R,HARWIN_S0991-46R,150.31,-64.404941,90,top
L1,3.3u,AOTA-B201610S3R3-101-T,142.2875,-112.21429,180,top
L2,560n,L_Changjiang_FXL0420,139.772702,-121.8968,0,top
L9,15u,L_0805_2012Metric,143.9875,-78.1225,0,top
L11,47n,L_0402_1005Metric,143.35,-67.1225,180,top
L12,15n,L_0402_1005Metric,145.65,-69.1225,180,top
L13,2.5n,L_0402_1005Metric,143.82,-65.6375,90,top
L14,4.7n,L_0402_1005Metric,143.8025,-60.645,90,top
L15,9.1n,L_0402_1005Metric,144.96,-48.392441,90,top
R1,1k,R_0402_1005Metric,128.36,-87.47,0,top
R2,1k,R_0402_1005Metric,160.31,-114.77,180,top
R3,100k,R_0402_1005Metric,134.5627,-132.4877,0,top
R4,8.06k,R_0402_1005Metric,134.562702,-127.0468,180,top
R5,10k,R_0402_1005Metric,156.3375,-119.8975,0,top
R6,33,R_0402_1005Metric,139.1625,-112.7725,90,top
R7,27,R_0402_1005Metric,146.0625,-112.3475,90,top
R8,27,R_0402_1005Metric,145.0125,-112.3475,90,top
