Comment,Designator,Footprint,LCSC
"470n","C1","rlc_402_smd","C47339"
"39p","C10,C14","rlc_402_smd","C86288"
"1n","C12,C13","rlc_402_smd","C14442"
"3.3p","C15,C16","rlc_402_smd","C307447"
"100n","C2","rlc_402_smd","C1525"
"1u","C3","rlc_402_smd","C14445"
"47n","L3,C4","rlc_402_smd","C307339"
"47p","C5","rlc_402_smd","C84706"
"1.8p","C6,C11","rlc_402_smd","C1553"
"3p","C7","rlc_402_smd","C318583"
"2.4p","C8","rlc_402_smd","C318575"
"5.6p","C9","rlc_402_smd","C318570"
"15u","L1","rlc_805_smd enlarged","C75634"
"15n","L4","rlc_402_smd","C76787"
"2.5n","L5","rlc_402_smd","C778764"
"4.7n","L6","rlc_402_smd","C13595"
"9.1n","L7","rlc_402_smd","C74297"
"100","R1,R2","rlc_402_smd","C25076"
"SMA","RFIO1","SMA_end_launch_1.0mm_9.52mm",""
"~","U1,U2","","C191341"
"NX2016SA-32M-EXS00A-CS06465","XTAL1","NX2016SA_NDK","C1986260"
